item_name,grade,origin,quantity,seller_min_price,buyer_max_price,season
Exotic Flowers,Premium,Tamil Nadu,76,2047,3223,Monsoon
Exotic Flowers,Premium,Kerala,43,3899,4559,Monsoon
Exotic Flowers,Premium,Kerala,21,2290,4167,Summer
Coffee Beans,Standard,Chikmagalur,87,4667,5381,Monsoon
Kesar Mango,B,Maharashtra,26,3658,5291,Summer
Coffee Beans,Standard,Chikmagalur,48,4327,5910,Monsoon
Alphonso Mango,B,Salem,40,3929,5022,Winter
Exotic Flowers,Standard,Tamil Nadu,99,4157,5810,Winter
Exotic Flowers,Premium,Tamil Nadu,47,1169,1968,Monsoon
Coffee Beans,Standard,Coorg,95,2234,3958,Monsoon
Kesar Mango,A,Maharashtra,21,1753,3070,Winter
Exotic Flowers,Premium,Tamil Nadu,90,3853,4521,Monsoon
Kesar Mango,A,Gujarat,37,3787,4495,Summer
Exotic Flowers,Premium,Kerala,97,1930,3453,Winter
Exotic Flowers,Premium,Kerala,63,1446,3424,Monsoon
Coffee Beans,Standard,Chikmagalur,65,2210,4002,Summer
Kesar Mango,A,Maharashtra,88,4535,5365,Summer
Kesar Mango,B,Gujarat,21,3377,3976,Monsoon
Kesar Mango,B,Maharashtra,96,1961,3597,Monsoon
Alphonso Mango,Export,Ratnagiri,96,3664,5210,Summer
Coffee Beans,Standard,Chikmagalur,87,1091,2465,Monsoon
Alphonso Mango,A,Salem,24,3897,5045,Winter
Exotic Flowers,Premium,Kerala,31,1591,3084,Summer
Coffee Beans,Premium,Coorg,76,4472,6295,Winter
Kesar Mango,B,Maharashtra,74,1843,3679,Monsoon
